pair_key,SO,notes,journal_cat
1,ANALYTICA CHIMICA ACTA,,PW
1,ANALYTICA CHIMICA ACTA: X,,OA
2,ATHEROSCLEROSIS,,PW
2,ATHEROSCLEROSIS: X,,OA
3,ATMOSPHERIC ENVIRONMENT,,PW
3,ATMOSPHERIC ENVIRONMENT: X,,OA
4,BIOCHIMIE,,PW
4,BIOCHIMIE OPEN,,OA
5,BIOSENSORS AND BIOELECTRONICS,,PW
5,BIOSENSORS AND BIOELECTRONICS: X,,OA
6,"CHAOS, SOLITONS AND FRACTALS",,PW
6,"CHAOS, SOLITONS AND FRACTALS: X",Need to search articles for this,OA
7,CHEMICAL ENGINEERING SCIENCE,Need to search articles for this,PW
7,CHEMICAL ENGINEERING SCIENCE: X,,OA
8,CHEMICAL PHYSICS LETTERS,,PW
8,CHEMICAL PHYSICS LETTERS: X,,OA
9,CLINICS AND RESEARCH IN HEPATOLOGY AND GASTROENTEROLOGY,,PW
9,CLINICS AND RESEARCH IN HEPATOLOGY AND GASTROENTEROLOGY: X,Need to search articles for this,OA
10,COMPUTERS AND GRAPHICS,"correct one, need to search",PW
10,GRAPHICS AND VISUAL COMPUTING,Need to search articles for this,OA
11,CONTRACEPTION,,PW
11,CONTRACEPTION: X,,OA
12,CYTOKINE,,PW
12,CYTOKINE: X,,OA
13,DIABETES AND METABOLISM,,PW
13,DIABETES AND METABOLISM: X,,OA
14,ECOLOGICAL ENGINEERING,,PW
14,ECOLOGICAL ENGINEERING: X,,OA
15,ENERGY CONVERSION AND MANAGEMENT,,PW
15,ENERGY CONVERSION AND MANAGEMENT: X,,OA
16,"EUROPEAN JOURNAL OF OBSTETRICS, GYNECOLOGY, AND REPRODUCTIVE BIOLOGY",,PW
16,"EUROPEAN JOURNAL OF OBSTETRICS, GYNECOLOGY, AND REPRODUCTIVE BIOLOGY: X",Need to search articles for this,OA
17,EXPERT SYSTEMS WITH APPLICATIONS,,PW
17,EXPERT SYSTEMS WITH APPLICATIONS: X,,OA
18,FOOD CHEMISTRY,,PW
18,FOOD CHEMISTRY: X,,OA
19,GENE,,PW
19,GENE: X,,OA
20,INTERNATIONAL JOURNAL OF PHARMACEUTICS,,PW
20,INTERNATIONAL JOURNAL OF PHARMACEUTICS: X,,OA
21,JOURNAL OF ASIAN EARTH SCIENCES,,PW
21,JOURNAL OF ASIAN EARTH SCIENCES: X,,OA
22,JOURNAL OF BIOMEDICAL INFORMATICS,,PW
22,JOURNAL OF BIOMEDICAL INFORMATICS: X,,OA
23,JOURNAL OF BIOTECHNOLOGY,,PW
23,JOURNAL OF BIOTECHNOLOGY: X,,OA
24,JOURNAL OF COMPUTATIONAL PHYSICS,,PW
24,JOURNAL OF COMPUTATIONAL PHYSICS: X,,OA
25,JOURNAL OF DENTISTRY,,PW
25,JOURNAL OF DENTISTRY: X,,OA
26,JOURNAL OF HYDROLOGY,,PW
26,JOURNAL OF HYDROLOGY X,,OA
27,JOURNAL OF NON-CRYSTALLINE SOLIDS,,PW
27,JOURNAL OF NON-CRYSTALLINE SOLIDS: X,,OA
28,JOURNAL OF STRUCTURAL BIOLOGY,,PW
28,JOURNAL OF STRUCTURAL BIOLOGY: X,,OA
29,MATERIALS LETTERS,,PW
29,MATERIALS LETTERS: X,,OA
30,MICRO AND NANO ENGINEERING,,OA
30,MICROELECTRONIC ENGINEERING,,PW
31,NUTRITION,,PW
31,NUTRITION: X,,OA
32,OPTICAL MATERIALS,,PW
32,OPTICAL MATERIALS: X,,OA
33,RESEARCH POLICY,Need to search articles for this,PW
33,RESEARCH POLICY: X,,OA
34,RESPIRATORY MEDICINE,,PW
34,RESPIRATORY MEDICINE: X,,OA
35,SLEEP MEDICINE,Need to search articles for this,PW
35,SLEEP MEDICINE: X,,OA
36,TOXICON,Need to search articles for this,PW
36,TOXICON: X,,OA
37,VACCINE,Need to search articles for this,PW
37,VACCINE: X,,OA
38,VETERINARY PARASITOLOGY,Need to search articles for this,PW
38,VETERINARY PARASITOLOGY: X,,OA
39,WATER RESEARCH,,PW
39,WATER RESEARCH X,,OA
40,WORLD NEUROSURGERY,Need to search articles for this,PW
40,WORLD NEUROSURGERY: X,,OA
41,"RESOURCES, CONSERVATION, & RECYCLING",Need to search articles for this,PW
41,"RESOURCES, CONSERVATION, & RECYCLING: X",Need to search articles for this,OA
0,COMPUTERS AND GRAPHICS (PERGAMON),delete-wrong one,
0,"FOOD CHEMISTRY, FUNCTION AND ANALYSIS",delete-wrong one,
0,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,delete-wrong one,
